城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,101.2,110.1,108.0,唐　　山,99.6,105.5,103.7
天津,100.3,98.5,99.3,秦皇岛,99.8,103.2,101.4
石家庄,100.3,98.4,98.9,包　　头,100.5,103.9,102.3
太原,99.7,96.3,97.8,丹　　东,100.3,104.6,103.5
呼和浩特,99.9,100.1,99.8,锦　　州,99.5,99.6,99.5
沈阳,100.6,106.3,104.7,吉　　林,100.1,98.7,99.3
大连,100.7,106.8,105.2,牡丹江,99.9,91.7,94.8
长春,99.8,97.3,97.5,无　　锡,100.7,108.7,105.9
哈尔滨,100.5,96.5,98.3,徐　　州,101.4,110.6,108.1
上海,100.9,109.3,107.9,扬　　州,100.8,106.5,105.5
南京,100.7,106.1,104.9,温　　州,100.8,107.3,105.4
杭州,101.0,108.7,106.7,金　　华,100.4,107.5,105.7
宁波,100.7,110.4,107.5,蚌　　埠,100.3,104.8,103.7
合肥,100.5,106.3,105.3,安　　庆,99.8,97.4,98.2
福州,100.7,105.1,104.4,泉　　州,101.0,108.2,106.3
厦门,100.4,105.8,104.3,九　　江,100.3,103.4,102.8
南昌,100.1,100.9,100.8,赣　　州,100.0,102.6,101.5
济南,100.6,98.9,99.3,烟　　台,100.5,102.3,102.2
青岛,100.5,100.2,100.2,济　　宁,100.4,106.3,104.7
郑州,100.5,99.3,100.1,洛　　阳,100.9,103.8,102.8
武汉,100.7,102.8,102.4,平顶山,100.2,103.5,102.6
长沙,100.5,104.4,103.6,宜　　昌,99.8,99.9,99.5
广州,101.2,112.9,109.7,襄　　阳,100.3,99.6,99.8
深圳,100.0,112.9,109.0,岳　　阳,99.8,99.9,99.5
南宁,99.8,102.6,101.8,常　　德,100.1,99.2,99.5
海口,100.8,105.6,104.5,韶　　关,100.5,101.7,101.3
重庆,101.3,103.7,103.0,湛　　江,100.7,101.1,101.1
成都,100.3,107.4,105.8,惠　　州,100.2,105.5,104.0
贵阳,100.4,98.0,98.8,桂　　林,99.8,102.1,101.5
昆明,100.5,104.2,103.7,北　　海,99.7,96.7,97.7
西安,100.8,106.6,105.1,三　　亚,100.8,103.5,103.6
兰州,100.6,105.2,104.1,泸　　州,100.4,99.2,99.6
西宁,100.4,108.1,105.7,南　　充,100.4,95.5,96.6
银川,100.6,109.8,106.8,遵　　义,99.8,101.2,100.8
乌鲁木齐,100.5,106.0,104.3,大　　理,100.2,102.7,101.9
