城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,99.9,105.3,114.9,唐　　山,98.8,96.9,100.0
天津,99.1,98.0,97.7,秦皇岛,100.1,96.6,97.8
石家庄,100.1,95.1,94.2,包　　头,99.9,97.0,99.7
太原,100.6,94.7,92.3,丹　　东,100.0,96.6,100.3
呼和浩特,99.5,96.6,96.3,锦　　州,99.4,95.7,95.0
沈阳,99.9,97.0,102.1,吉　　林,98.2,95.9,95.2
大连,99.5,98.6,104.3,牡丹江,98.7,89.5,84.6
长春,98.4,97.4,95.4,无　　锡,100.8,101.5,107.9
哈尔滨,99.1,92.8,91.5,徐　　州,100.3,97.5,106.6
上海,100.0,103.0,111.9,扬　　州,99.7,97.1,103.3
南京,99.1,97.6,103.0,温　　州,99.4,97.8,103.8
杭州,99.8,101.6,109.3,金　　华,99.0,96.8,103.0
宁波,99.6,99.4,107.2,蚌　　埠,99.1,98.2,102.2
合肥,99.5,97.3,102.8,安　　庆,99.4,94.5,92.5
福州,100.2,98.9,103.9,泉　　州,99.5,97.3,104.2
厦门,100.5,100.4,104.8,九　　江,99.9,98.7,101.7
南昌,99.3,98.2,98.8,赣　　州,100.3,100.9,102.2
济南,99.6,98.2,98.0,烟　　台,99.2,97.5,99.9
青岛,99.8,98.7,99.4,济　　宁,99.3,97.1,102.4
郑州,99.7,97.3,98.0,洛　　阳,99.2,96.0,99.3
武汉,99.5,97.3,99.9,平顶山,99.7,97.7,100.4
长沙,99.8,101.4,105.3,宜　　昌,99.2,96.0,95.4
广州,100.2,101.3,112.0,襄　　阳,99.1,96.5,96.5
深圳,100.1,97.4,106.1,岳　　阳,99.0,97.1,96.4
南宁,99.4,96.1,97.7,常　　德,99.3,95.2,94.6
海口,99.9,105.1,110.4,韶　　关,100.2,96.5,98.2
重庆,99.7,100.5,104.6,湛　　江,98.8,96.0,97.0
成都,100.9,103.8,110.5,惠　　州,99.6,98.6,102.7
贵阳,99.2,95.0,94.2,桂　　林,100.3,97.9,99.4
昆明,100.2,99.5,103.4,北　　海,99.0,95.8,93.5
西安,99.6,100.4,106.6,三　　亚,99.7,100.5,104.9
兰州,98.8,96.4,100.7,泸　　州,99.8,97.2,97.3
西宁,99.8,98.7,104.8,南　　充,100.6,96.6,93.0
银川,99.6,97.8,105.3,遵　　义,99.2,95.8,96.1
乌鲁木齐,99.9,97.0,100.9,大　　理,99.4,93.6,95.5
