城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,100.5,104.5,115.5,唐　　山,99.1,95.8,99.1
天津,99.6,97.4,97.3,秦皇岛,99.5,96.5,97.3
石家庄,99.5,95.0,93.8,包　　头,99.7,96.5,99.4
太原,100.5,95.2,92.8,丹　　东,100.0,96.5,100.3
呼和浩特,99.3,96.0,95.6,锦　　州,99.6,95.5,94.6
沈阳,99.7,96.3,101.7,吉　　林,98.9,94.9,94.2
大连,100.2,98.2,104.5,牡丹江,99.5,89.6,84.2
长春,99.2,96.3,94.7,无　　锡,100.5,101.0,108.4
哈尔滨,99.0,91.6,90.6,徐　　州,99.4,96.5,106.0
上海,100.2,102.3,112.2,扬　　州,99.9,96.4,103.2
南京,99.6,96.5,102.6,温　　州,99.3,96.5,103.1
杭州,100.6,101.4,110.0,金　　华,99.5,95.4,102.5
宁波,100.4,99.2,107.6,蚌　　埠,99.9,97.4,102.1
合肥,100.6,97.6,103.4,安　　庆,99.2,94.0,91.8
福州,99.8,98.1,103.7,泉　　州,99.5,96.3,103.7
厦门,100.3,100.4,105.2,九　　江,99.9,98.2,101.6
南昌,99.7,98.0,98.5,赣　　州,100.2,100.9,102.4
济南,99.9,97.6,97.9,烟　　台,100.1,97.2,99.9
青岛,100.5,99.0,99.9,济　　宁,99.5,96.1,101.8
郑州,99.3,96.2,97.4,洛　　阳,99.3,95.0,98.6
武汉,99.3,95.9,99.2,平顶山,99.8,97.5,100.1
长沙,100.1,100.7,105.4,宜　　昌,98.9,94.9,94.3
广州,100.5,101.2,112.6,襄　　阳,99.4,95.7,96.0
深圳,99.0,96.6,105.1,岳　　阳,98.9,96.2,95.3
南宁,99.5,95.4,97.2,常　　德,99.7,94.9,94.3
海口,100.3,104.7,110.8,韶　　关,99.7,96.5,97.9
重庆,100.5,100.1,105.1,湛　　江,99.9,95.6,96.9
成都,102.0,105.4,112.8,惠　　州,99.6,97.8,102.3
贵阳,99.3,94.6,93.5,桂　　林,99.7,97.4,99.1
昆明,100.1,100.1,103.5,北　　海,99.8,95.1,93.4
西安,100.1,99.6,106.7,三　　亚,99.9,100.0,104.8
兰州,99.6,96.0,100.4,泸　　州,99.6,96.8,96.9
西宁,99.4,97.5,104.2,南　　充,101.0,98.1,94.0
银川,99.9,97.3,105.2,遵　　义,99.5,95.3,95.6
乌鲁木齐,99.2,96.5,100.1,大　　理,100.4,94.0,95.8
