城市,环比,同比,1-6月平均,城市,环比,同比,1-6月平均
城市,环比,同比,1-6月平均,城市,环比,同比,1-6月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,,
北　　京,100.2,92.2,93.3,唐　　山,98.8,91.1,92.7
天　　津,99.6,93.6,95.6,秦 皇 岛,98.3,91.2,93.4
石 家 庄,98.9,95.0,96.7,包　　头,98.7,91.5,93.7
太　　原,99.5,95.5,96.2,丹　　东,99.4,91.6,93.1
呼和浩特,98.7,91.7,93.6,锦　　州,99.3,93.3,94.2
沈　　阳,99.4,92.5,93.3,吉　　林,99.7,92.5,92.9
大　　连,99.1,91.5,92.9,牡 丹 江,99.3,92.5,93.3
长　　春,99.5,93.5,94.0,无　　锡,99.1,91.8,93.4
哈 尔 滨,98.6,92.0,93.8,徐　　州,99.3,87.8,88.8
上　　海,100.5,93.7,93.5,扬　　州,99.5,91.8,92.5
南　　京,100.1,90.3,90.5,温　　州,99.2,89.4,91.2
杭　　州,100.3,93.9,94.7,金　　华,98.6,89.9,92.3
宁　　波,98.6,89.9,92.1,蚌　　埠,99.1,92.6,94.3
合　　肥,99.4,92.0,93.3,安　　庆,98.9,91.9,93.6
福　　州,98.8,90.7,92.5,泉　　州,98.0,91.4,93.1
厦　　门,99.0,87.9,89.8,九　　江,99.4,91.0,92.9
南　　昌,98.4,90.8,93.5,赣　　州,99.0,93.9,96.8
济　　南,98.8,92.1,94.7,烟　　台,98.2,89.9,92.3
青　　岛,99.4,91.2,92.7,济　　宁,99.5,91.9,93.3
郑　　州,99.5,91.4,92.0,洛　　阳,99.5,92.6,93.5
武　　汉,98.1,87.5,90.5,平 顶 山,99.4,93.4,94.4
长　　沙,98.4,91.8,95.1,宜　　昌,99.1,93.2,93.9
广　　州,98.5,87.6,90.6,襄　　阳,99.2,89.9,91.9
深　　圳,99.0,90.5,92.3,岳　　阳,99.4,94.6,95.6
南　　宁,99.4,91.2,92.6,常　　德,99.1,91.9,94.3
海　　口,99.1,91.3,92.7,韶　　关,99.2,93.2,94.9
重　　庆,99.2,91.3,92.5,湛　　江,99.5,92.2,94.0
成　　都,98.9,91.8,95.1,惠　　州,98.6,92.4,94.2
贵　　阳,99.4,93.1,94.2,桂　　林,99.5,92.7,94.0
昆　　明,99.1,94.7,96.3,北　　海,99.8,94.8,95.5
西　　安,99.2,94.1,95.7,三　　亚,99.5,95.7,97.6
兰　　州,98.7,91.2,93.1,泸　　州,98.9,93.7,95.9
西　　宁,99.4,93.8,95.6,南　　充,98.6,93.2,96.0
银　　川,99.1,93.4,95.3,遵　　义,99.3,95.3,95.9
乌鲁木齐,99.0,94.6,95.6,大　　理,99.5,94.0,95.3
