城市,环比,同比,1-11月平均,城市,环比,同比,1-11月平均
城市,环比,同比,1-11月平均,城市,环比,同比,1-11月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,,
北　　京,100.9,93.8,92.7,唐　　山,99.0,88.2,91.1
天　　津,100.2,93.3,94.4,秦 皇 岛,99.1,88.4,91.6
石 家 庄,99.8,92.7,95.2,包　　头,99.2,88.6,91.8
太　　原,99.7,95.3,95.8,丹　　东,98.7,88.9,91.7
呼和浩特,98.9,89.1,92.0,锦　　州,99.1,92.1,93.4
沈　　阳,99.8,92.5,92.8,吉　　林,99.5,93.7,93.2
大　　连,99.6,90.2,91.8,牡 丹 江,99.3,91.7,92.5
长　　春,99.8,93.8,93.7,无　　锡,99.7,91.5,92.4
哈 尔 滨,99.1,91.9,93.0,徐　　州,100.2,90.6,88.8
上　　海,100.4,95.1,93.7,扬　　州,99.1,91.1,91.8
南　　京,100.0,92.6,90.9,温　　州,98.7,87.8,89.9
杭　　州,100.8,93.9,94.2,金　　华,99.5,87.4,90.3
宁　　波,100.1,90.6,91.1,蚌　　埠,99.7,91.9,93.1
合　　肥,99.6,90.5,92.1,安　　庆,99.6,90.5,92.2
福　　州,99.6,89.8,91.1,泉　　州,99.1,88.4,91.3
厦　　门,100.4,86.9,88.1,九　　江,99.6,89.9,91.5
南　　昌,99.6,88.5,91.4,赣　　州,99.9,93.5,95.2
济　　南,99.3,89.9,92.7,烟　　台,99.6,90.9,91.2
青　　岛,99.6,91.2,91.9,济　　宁,99.8,93.2,92.7
郑　　州,99.5,91.5,91.7,洛　　阳,99.5,91.2,92.6
武　　汉,99.8,88.1,89.0,平 顶 山,99.8,93.0,93.7
长　　沙,99.6,90.6,93.2,宜　　昌,99.7,92.3,93.4
广　　州,99.6,88.1,89.3,襄　　阳,99.4,89.2,90.7
深　　圳,100.5,91.0,91.1,岳　　阳,99.6,93.7,94.9
南　　宁,99.5,90.6,91.5,常　　德,99.6,90.1,92.4
海　　口,100.0,90.9,91.6,韶　　关,99.4,93.1,94.0
重　　庆,100.4,92.9,92.1,湛　　江,99.7,91.6,92.8
成　　都,100.7,92.4,93.5,惠　　州,99.6,89.0,92.1
贵　　阳,99.7,93.6,93.8,桂　　林,99.7,93.8,93.8
昆　　明,99.5,94.0,95.2,北　　海,99.6,94.2,94.8
西　　安,99.7,92.5,94.5,三　　亚,99.4,93.0,96.0
兰　　州,99.7,90.3,91.8,泸　　州,99.5,92.1,94.6
西　　宁,99.2,92.3,94.2,南　　充,99.7,92.2,94.2
银　　川,99.6,94.2,94.7,遵　　义,99.6,94.5,95.4
乌鲁木齐,99.6,94.2,95.2,大　　理,99.7,91.9,93.8
