城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,99.5,108.8,110.9,唐　　山,99.9,99.5,101.9
天津,99.9,101.6,100.5,秦皇岛,99.8,97.8,99.5
石家庄,99.4,97.9,97.1,包　　头,99.9,101.5,102.2
太原,99.6,97.9,96.7,丹　　东,99.9,102.6,104.1
呼和浩特,99.5,98.1,98.4,锦　　州,99.5,98.3,98.3
沈阳,99.8,103.3,105.9,吉　　林,99.6,99.2,98.5
大连,100.1,105.3,107.4,牡丹江,99.2,95.2,91.4
长春,99.9,99.0,98.9,无　　锡,99.6,104.5,107.7
哈尔滨,99.5,99.3,97.7,徐　　州,99.5,105.4,108.5
上海,99.6,107.0,109.5,扬　　州,99.6,104.9,106.7
南京,99.7,105.4,106.9,温　　州,99.5,104.2,106.3
杭州,99.5,105.7,108.3,金　　华,99.7,104.9,107.0
宁波,99.6,104.8,108.1,蚌　　埠,99.6,103.7,104.7
合肥,99.8,104.3,105.6,安　　庆,99.5,96.5,96.1
福州,99.6,104.3,105.0,泉　　州,99.6,106.0,107.7
厦门,99.7,103.3,104.4,九　　江,99.6,103.1,103.0
南昌,99.8,101.0,100.2,赣　　州,100.5,100.8,101.8
济南,99.8,101.1,100.4,烟　　台,99.8,103.1,103.1
青岛,99.9,101.5,101.1,济　　宁,99.8,103.6,105.6
郑州,99.5,101.7,100.6,洛　　阳,100.0,103.2,104.3
武汉,99.8,102.5,103.3,平顶山,99.9,100.8,102.3
长沙,99.7,105.7,106.1,宜　　昌,99.8,98.1,98.4
广州,99.4,108.3,111.4,襄　　阳,99.5,99.7,99.4
深圳,99.8,102.5,107.2,岳　　阳,99.7,97.8,98.0
南宁,99.7,99.8,100.9,常　　德,99.7,99.0,98.2
海口,100.3,107.5,108.9,韶　　关,99.2,100.8,100.7
重庆,99.8,105.0,105.2,湛　　江,99.6,100.4,100.3
成都,100.0,104.8,107.6,惠　　州,99.5,101.6,103.3
贵阳,99.7,98.7,97.6,桂　　林,99.4,99.9,100.8
昆明,99.7,100.6,101.6,北　　海,99.8,98.9,97.7
西安,99.8,106.2,108.1,三　　亚,100.4,106.3,106.1
兰州,99.6,102.6,103.9,泸　　州,99.2,100.8,100.1
西宁,99.4,104.4,107.0,南　　充,99.1,94.8,93.3
银川,99.8,104.3,107.9,遵　　义,99.5,99.0,99.2
乌鲁木齐,99.5,99.9,102.1,大　　理,99.2,98.9,100.0
