城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,100.5,108.0,112.1,唐　　山,100.0,98.3,101.7
天津,99.3,100.7,99.2,秦皇岛,99.7,96.8,98.4
石家庄,99.5,96.1,94.9,包　　头,99.8,100.0,101.2
太原,99.7,96.0,94.4,丹　　东,99.2,99.5,102.3
呼和浩特,99.9,98.2,97.7,锦　　州,99.8,97.5,97.1
沈阳,99.3,101.1,104.3,吉　　林,99.5,98.8,97.6
大连,99.5,103.2,106.5,牡丹江,98.7,93.4,88.8
长春,99.4,99.2,97.5,无　　锡,100.3,103.0,107.0
哈尔滨,99.3,97.9,95.0,徐　　州,99.8,102.0,107.1
上海,100.6,105.8,110.5,扬　　州,99.7,101.7,105.1
南京,99.4,102.7,105.4,温　　州,100.0,102.5,105.7
杭州,100.4,104.8,108.8,金　　华,99.7,101.5,106.0
宁波,99.5,101.8,107.0,蚌　　埠,99.8,101.2,103.6
合肥,99.6,101.5,104.7,安　　庆,99.3,95.6,94.5
福州,99.5,101.8,104.2,泉　　州,99.5,102.2,105.9
厦门,100.2,101.0,104.1,九　　江,99.8,100.5,101.9
南昌,100.0,99.0,99.8,赣　　州,99.5,100.4,101.7
济南,99.7,100.7,99.5,烟　　台,99.5,101.5,102.3
青岛,99.8,101.1,100.1,济　　宁,99.4,100.7,104.2
郑州,99.8,100.5,99.3,洛　　阳,99.4,100.6,102.1
武汉,99.7,101.3,102.2,平顶山,99.8,99.8,101.6
长沙,99.9,104.4,106.3,宜　　昌,99.6,97.4,97.1
广州,99.8,104.1,110.3,襄　　阳,99.5,99.0,98.4
深圳,99.5,98.5,106.0,岳　　阳,100.0,97.0,97.4
南宁,99.8,97.7,99.6,常　　德,99.2,97.1,96.6
海口,100.4,107.2,109.8,韶　　关,99.6,99.3,99.6
重庆,100.6,104.7,105.5,湛　　江,99.1,99.2,98.8
成都,100.8,103.6,107.5,惠　　州,100.4,100.3,103.1
贵阳,99.6,97.8,95.9,桂　　林,99.8,98.3,99.7
昆明,100.8,100.6,102.7,北　　海,98.8,97.2,95.6
西安,100.0,104.5,107.3,三　　亚,99.6,103.7,105.0
兰州,99.6,100.4,102.9,泸　　州,99.3,99.1,98.3
西宁,99.4,100.7,105.2,南　　充,99.8,94.8,91.9
银川,99.5,101.9,106.9,遵　　义,99.5,97.7,98.2
乌鲁木齐,99.8,98.0,101.2,大　　理,99.9,97.3,98.2
