城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,100.8,108.5,111.6,唐　　山,99.6,98.8,101.7
天津,99.6,101.3,99.8,秦皇岛,99.5,97.1,98.7
石家庄,99.0,96.6,95.4,包　　头,99.6,100.5,101.4
太原,98.8,96.2,94.7,丹　　东,99.2,100.6,103.1
呼和浩特,99.9,98.3,97.9,锦　　州,99.7,97.4,97.3
沈阳,99.5,101.8,105.0,吉　　林,99.6,99.4,98.0
大连,99.8,104.1,107.1,牡丹江,98.7,94.3,89.9
长春,99.6,99.3,98.1,无　　锡,99.4,103.4,106.6
哈尔滨,99.0,98.4,95.7,徐　　州,99.5,103.2,107.2
上海,100.4,106.5,109.8,扬　　州,99.3,102.6,105.4
南京,99.7,103.8,106.1,温　　州,99.7,103.0,105.7
杭州,100.3,105.2,108.4,金　　华,99.8,103.2,106.3
宁波,99.8,103.2,107.5,蚌　　埠,99.6,101.9,103.8
合肥,99.7,102.5,105.1,安　　庆,99.5,96.2,95.2
福州,99.8,103.1,104.7,泉　　州,99.5,103.6,106.4
厦门,99.6,101.4,103.8,九　　江,99.7,101.4,102.1
南昌,99.7,99.6,99.8,赣　　州,100.0,100.9,102.2
济南,99.9,101.5,99.8,烟　　台,99.9,102.4,102.8
青岛,99.7,101.2,100.3,济　　宁,99.3,101.9,104.8
郑州,99.5,100.9,99.4,洛　　阳,99.4,101.5,102.8
武汉,99.5,102.2,102.5,平顶山,99.9,100.3,101.8
长沙,100.2,105.1,106.4,宜　　昌,99.5,97.5,97.5
广州,99.7,105.8,110.5,襄　　阳,99.7,99.5,98.9
深圳,99.6,100.6,106.5,岳　　阳,99.5,96.8,97.4
南宁,99.6,98.1,99.8,常　　德,99.4,97.8,97.3
海口,100.1,107.2,109.4,韶　　关,99.7,99.9,99.9
重庆,99.6,104.4,104.8,湛　　江,99.6,100.0,99.7
成都,99.7,103.8,106.6,惠　　州,99.8,100.6,102.7
贵阳,99.4,97.9,96.3,桂　　林,99.8,99.0,99.9
昆明,100.5,100.5,101.8,北　　海,99.4,98.3,96.7
西安,99.7,105.6,107.3,三　　亚,99.4,104.7,105.5
兰州,99.8,101.2,103.3,泸　　州,99.7,99.9,98.9
西宁,99.5,102.1,105.8,南　　充,99.5,94.7,92.0
银川,99.8,103.0,107.4,遵　　义,99.7,98.6,98.6
乌鲁木齐,99.7,98.5,101.4,大　　理,99.2,97.6,98.3
