城市,环比,同比,1-6月平均,城市,环比,同比,1-6月平均
城市,环比,同比,1-6月平均,城市,环比,同比,1-6月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,,
北　　京,99.0,98.2,97.9,唐　　山,99.1,89.8,89.0
天　　津,99.5,96.5,95.6,秦 皇 岛,99.3,90.5,89.6
石 家 庄,99.4,94.5,93.4,包　　头,99.3,90.9,89.8
太　　原,99.5,95.0,95.2,丹　　东,99.1,92.0,90.8
呼和浩特,99.6,90.9,89.5,锦　　州,99.7,92.5,91.9
沈　　阳,99.6,94.9,94.0,吉　　林,99.6,95.4,94.7
大　　连,99.5,93.0,91.8,牡 丹 江,99.9,93.3,92.4
长　　春,99.4,93.8,93.7,无　　锡,99.3,95.1,93.8
哈 尔 滨,99.7,93.4,92.4,徐　　州,98.7,92.8,92.8
上　　海,99.3,98.7,98.7,扬　　州,99.5,91.3,91.3
南　　京,99.1,94.5,95.0,温　　州,99.3,91.4,90.3
杭　　州,99.2,97.6,97.2,金　　华,99.4,91.6,89.8
宁　　波,99.5,94.4,92.8,蚌　　埠,99.5,95.1,94.0
合　　肥,99.1,92.4,92.1,安　　庆,99.4,92.3,91.5
福　　州,99.5,92.6,91.3,泉　　州,99.4,91.1,89.6
厦　　门,99.4,93.2,91.1,九　　江,99.2,92.7,91.9
南　　昌,99.1,92.3,90.5,赣　　州,99.3,97.7,96.1
济　　南,99.5,93.5,91.7,烟　　台,99.4,93.1,91.5
青　　岛,99.5,94.9,93.6,济　　宁,99.0,95.1,94.8
郑　　州,99.1,91.8,92.1,洛　　阳,99.7,95.0,93.8
武　　汉,99.1,93.9,92.0,平 顶 山,99.5,95.3,94.9
长　　沙,98.8,93.5,92.4,宜　　昌,99.4,94.4,93.4
广　　州,99.3,94.1,92.0,襄　　阳,99.2,91.6,90.7
深　　圳,99.5,97.2,95.8,岳　　阳,99.5,94.3,94.1
南　　宁,99.5,92.7,91.7,常　　德,99.1,92.4,91.7
海　　口,99.6,95.6,94.3,韶　　关,99.6,94.0,93.4
重　　庆,99.3,96.0,95.1,湛　　江,99.7,93.9,93.1
成　　都,99.6,99.5,97.4,惠　　州,99.4,90.9,89.9
贵　　阳,99.4,95.2,95.0,桂　　林,99.6,95.4,94.9
昆　　明,99.3,92.2,92.3,北　　海,99.2,93.9,94.5
西　　安,99.2,93.4,93.2,三　　亚,99.5,93.2,93.1
兰　　州,99.3,92.9,91.8,泸　　州,99.5,94.1,92.8
西　　宁,100.1,94.6,93.3,南　　充,99.3,95.3,93.9
银　　川,99.2,95.5,94.9,遵　　义,99.3,94.0,94.2
乌鲁木齐,99.6,95.4,94.6,大　　理,99.8,94.4,93.2
