城市,环比,同比,1-8月平均,城市,环比,同比,1-8月平均
城市,环比,同比,1-8月平均,城市,环比,同比,1-8月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,,
北　　京,99.0,91.5,93.1,唐　　山,98.9,89.8,92.1
天　　津,99.4,93.3,95.0,秦 皇 岛,98.7,89.9,92.7
石 家 庄,98.6,93.8,96.1,包　　头,98.5,90.0,92.9
太　　原,99.5,95.1,95.9,丹　　东,98.8,90.5,92.5
呼和浩特,99.1,90.6,92.9,锦　　州,99.4,92.9,93.9
沈　　阳,99.2,92.1,93.0,吉　　林,100.1,93.6,93.0
大　　连,99.3,91.1,92.4,牡 丹 江,99.2,91.4,92.9
长　　春,99.2,93.0,93.8,无　　锡,99.0,91.6,93.0
哈 尔 滨,99.5,92.0,93.3,徐　　州,99.2,87.9,88.6
上　　海,99.4,94.2,93.7,扬　　州,98.4,90.8,92.2
南　　京,99.4,91.0,90.6,温　　州,98.3,88.4,90.6
杭　　州,99.3,93.8,94.5,金　　华,98.1,88.4,91.4
宁　　波,98.4,89.1,91.5,蚌　　埠,99.0,91.5,93.7
合　　肥,98.9,90.9,92.8,安　　庆,98.9,90.5,92.9
福　　州,98.0,89.1,91.8,泉　　州,98.4,89.6,92.3
厦　　门,97.8,85.4,88.9,九　　江,99.3,90.1,92.3
南　　昌,99.2,89.4,92.5,赣　　州,99.7,93.2,95.9
济　　南,98.1,90.0,93.7,烟　　台,99.2,89.3,91.6
青　　岛,99.0,91.1,92.3,济　　宁,99.3,91.1,92.8
郑　　州,99.3,91.6,91.9,洛　　阳,99.5,92.1,93.2
武　　汉,99.3,86.7,89.6,平 顶 山,99.3,92.8,94.0
长　　沙,99.1,91.2,94.2,宜　　昌,99.3,93.0,93.7
广　　州,99.3,87.5,89.9,襄　　阳,98.7,89.3,91.3
深　　圳,98.7,89.2,91.7,岳　　阳,99.0,94.4,95.3
南　　宁,99.1,90.4,92.1,常　　德,99.8,90.8,93.4
海　　口,98.4,89.9,92.1,韶　　关,99.1,92.5,94.4
重　　庆,98.8,91.0,92.2,湛　　江,99.2,91.3,93.4
成　　都,99.5,91.3,94.2,惠　　州,97.8,89.5,93.3
贵　　阳,99.5,93.3,94.0,桂　　林,99.9,93.5,93.8
昆　　明,98.8,93.8,95.7,北　　海,98.8,93.6,95.1
西　　安,98.9,93.4,95.2,三　　亚,99.6,95.3,97.0
兰　　州,98.4,89.9,92.4,泸　　州,99.5,93.6,95.3
西　　宁,99.4,92.5,94.8,南　　充,99.1,91.9,95.0
银　　川,99.6,93.8,94.9,遵　　义,99.4,95.1,95.7
乌鲁木齐,99.9,95.3,95.4,大　　理,99.0,91.9,94.6
