城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2015年=100,上月=100,上年同月=100,2015年=100,,
北　　京,99.5,95.4,146.4,唐　　山,100.1,103.5,105.9
天　　津,100.7,100.2,128.3,秦皇岛,100.5,105.0,109.2
石家庄,100.2,100.0,119.0,包　　头,100.0,103.8,101.1
太　　原,99.9,107.2,114.2,丹　　东,100.1,102.9,101.0
呼和浩特,100.4,103.6,102.6,锦　　州,100.1,100.4,93.7
沈　　阳,100.2,107.3,109.4,吉　　林,100.1,103.8,105.7
大　　连,100.6,106.5,108.0,牡丹江,100.0,103.5,103.9
长　　春,100.2,105.8,107.1,无　　锡,100.0,108.1,129.6
哈尔滨,100.4,107.6,109.6,扬　　州,100.3,105.3,112.9
上　　海,99.6,100.2,140.9,徐　　州,100.5,105.6,111.6
南　　京,99.9,98.3,136.2,温　　州,99.8,105.9,111.3
杭　　州,100.4,106.7,134.9,金　　华,100.6,108.3,114.4
宁　　波,100.3,107.2,118.8,蚌　　埠,100.2,106.5,112.3
合　　肥,99.9,100.0,151.3,安　　庆,100.5,105.9,113.9
福　　州,99.7,103.8,125.3,泉　　州,100.2,105.0,112.6
厦　　门,99.4,99.6,139.8,九　　江,100.2,104.2,114.7
南　　昌,99.8,102.4,117.9,赣　　州,100.5,102.4,114.3
济　　南,100.0,101.8,119.4,烟　　台,100.2,106.7,109.7
青　　岛,100.3,108.0,120.7,济　　宁,100.3,107.7,109.1
郑　　州,99.8,99.1,130.3,洛　　阳,100.1,104.3,106.7
武　　汉,100.1,108.2,136.9,平顶山,100.5,106.3,106.5
长　　沙,100.9,110.3,127.3,宜　　昌,100.5,106.8,111.9
广　　州,100.2,105.5,146.8,襄　　阳,100.0,104.9,106.1
深　　圳,101.3,104.7,147.1,岳　　阳,100.3,104.8,107.5
南　　宁,99.8,107.2,116.5,常　　德,100.1,104.3,106.9
海　　口,100.7,100.7,104.4,惠　　州,100.4,106.1,123.4
重　　庆,100.1,107.7,115.9,湛　　江,100.0,107.0,109.4
成　　都,100.2,103.2,110.6,韶　　关,100.2,104.8,107.2
贵　　阳,100.3,105.4,108.7,桂　　林,99.9,103.3,100.3
昆　　明,100.5,107.8,110.1,北　　海,99.8,107.6,111.9
西　　安,99.8,108.3,104.9,三　　亚,100.1,101.4,105.9
兰　　州,100.3,104.8,105.7,泸　　州,100.1,104.6,109.6
西　　宁,100.1,103.1,102.5,南　　充,100.6,107.5,111.1
银　　川,99.9,101.6,100.7,遵　　义,100.4,106.4,107.6
乌鲁木齐,101.2,111.4,109.9,大　　理,100.4,104.3,102.9
