城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,101.4,109.9,106.7,唐　　山,100.1,106.8,104.1
天津,100.4,98.0,99.0,秦皇岛,100.2,103.6,101.6
石家庄,100.0,97.8,98.6,包　　头,100.3,102.7,101.7
太原,99.9,96.0,98.1,丹　　东,100.2,104.6,103.1
呼和浩特,100.2,100.1,99.9,锦　　州,100.2,99.4,99.9
沈阳,100.5,107.6,104.1,吉　　林,100.3,98.6,99.2
大连,100.6,107.2,104.4,牡丹江,100.0,90.6,94.9
长春,99.8,97.8,97.8,无　　锡,100.9,109.0,105.2
哈尔滨,100.4,96.5,97.8,徐　　州,101.3,109.8,106.6
上海,101.1,109.7,107.0,扬　　州,100.8,106.1,104.7
南京,100.9,105.9,104.2,温　　州,100.6,107.5,104.6
杭州,101.2,108.7,105.6,金　　华,100.5,107.3,105.4
宁波,100.8,110.5,106.8,蚌　　埠,100.6,105.0,103.4
合肥,100.8,106.3,104.7,安　　庆,99.9,98.0,98.3
福州,100.7,105.2,103.6,泉　　州,100.7,107.1,105.2
厦门,100.4,105.9,103.9,九　　江,100.6,103.0,102.5
南昌,100.1,100.7,100.8,赣　　州,100.0,102.8,101.6
济南,100.1,98.2,98.7,烟　　台,100.5,101.5,101.6
青岛,100.4,99.7,99.8,济　　宁,100.3,106.3,104.3
郑州,100.5,98.3,99.5,洛　　阳,100.5,102.9,101.9
武汉,100.4,102.0,101.7,平顶山,100.2,103.6,102.4
长沙,100.7,103.5,103.1,宜　　昌,100.2,99.9,99.7
广州,101.4,111.5,108.4,襄　　阳,100.3,99.1,99.5
深圳,100.4,114.6,109.0,岳　　阳,99.7,100.6,99.6
南宁,99.9,103.1,102.0,常　　德,100.1,98.9,99.5
海口,100.6,104.5,103.7,韶　　关,100.4,100.7,100.8
重庆,100.8,102.3,101.7,湛　　江,100.5,100.0,100.4
成都,100.7,109.3,105.5,惠　　州,100.4,105.0,103.7
贵阳,100.2,97.3,98.5,桂　　林,100.1,102.6,101.6
昆明,100.3,104.2,103.2,北　　海,99.8,96.6,98.0
西安,100.6,105.6,104.2,三　　亚,100.7,102.5,102.7
兰州,100.4,105.3,103.5,泸　　州,99.7,98.5,99.2
西宁,100.3,108.6,105.3,南　　充,99.5,94.7,96.3
银川,100.7,110.4,106.1,遵　　义,100.3,101.2,101.0
乌鲁木齐,99.9,106.3,103.7,大　　理,100.2,102.6,101.7
