城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,100.7,107.4,112.9,唐　　山,99.9,97.7,101.6
天津,100.2,100.8,99.4,秦皇岛,99.8,96.9,98.2
石家庄,99.7,95.9,94.6,包　　头,99.7,99.6,100.9
太原,99.5,95.6,93.9,丹　　东,99.1,98.4,101.3
呼和浩特,99.5,97.6,97.3,锦　　州,99.3,96.7,96.4
沈阳,99.0,99.7,103.2,吉　　林,99.4,98.1,97.0
大连,99.8,102.4,106.3,牡丹江,98.5,92.2,87.5
长春,99.4,99.0,97.0,无　　锡,99.8,102.5,106.8
哈尔滨,99.0,96.6,94.1,徐　　州,99.6,101.2,106.6
上海,100.9,105.3,111.5,扬　　州,99.4,100.7,104.5
南京,99.2,101.3,104.6,温　　州,99.7,101.5,105.4
杭州,100.2,104.6,109.1,金　　华,99.3,100.4,105.2
宁波,100.5,101.5,107.5,蚌　　埠,99.9,100.7,103.5
合肥,99.7,100.5,104.4,安　　庆,99.5,95.5,94.0
福州,99.6,100.8,103.8,泉　　州,99.8,101.2,105.7
厦门,99.9,100.4,103.9,九　　江,100.0,100.0,102.0
南昌,99.9,99.0,99.7,赣　　州,99.7,99.8,101.4
济南,99.8,100.8,99.3,烟　　台,99.4,100.6,101.7
青岛,99.9,100.8,100.1,济　　宁,99.6,99.7,103.7
郑州,99.6,99.8,98.9,洛　　阳,99.2,99.9,101.3
武汉,99.3,100.1,101.4,平顶山,99.8,99.2,101.4
长沙,99.8,103.7,106.1,宜　　昌,99.5,97.1,96.6
广州,100.6,103.8,111.0,襄　　阳,99.7,98.9,98.1
深圳,99.8,97.4,105.8,岳　　阳,99.7,97.0,97.0
南宁,99.7,97.3,99.3,常　　德,99.4,96.6,96.0
海口,100.0,106.6,109.8,韶　　关,99.4,98.5,98.9
重庆,99.9,104.4,105.4,湛　　江,99.9,98.8,98.7
成都,100.6,103.3,108.2,惠　　州,100.6,100.4,103.7
贵阳,100.1,97.7,96.0,桂　　林,99.6,97.8,99.3
昆明,99.6,99.4,102.3,北　　海,99.5,96.9,95.1
西安,99.7,103.2,106.9,三　　亚,100.0,103.0,105.0
兰州,99.5,99.4,102.4,泸　　州,99.9,98.6,98.2
西宁,99.3,99.6,104.5,南　　充,100.3,95.3,92.2
银川,99.7,101.1,106.5,遵　　义,99.7,97.2,97.9
乌鲁木齐,99.6,97.0,100.8,大　　理,99.3,96.0,97.5
