城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,99.8,109.7,111.4,唐　　山,99.4,99.7,102.0
天津,100.6,101.7,100.7,秦皇岛,99.7,98.1,99.7
石家庄,99.7,98.1,97.7,包　　头,99.7,101.4,102.3
太原,99.5,97.9,97.1,丹　　东,100.1,103.1,104.2
呼和浩特,99.4,98.4,98.9,锦　　州,99.7,98.5,98.8
沈阳,99.9,104.2,106.0,吉　　林,99.6,99.3,98.9
大连,100.2,105.5,107.3,牡丹江,99.2,95.4,92.1
长春,100.1,98.7,99.0,无　　锡,100.1,104.9,108.1
哈尔滨,99.3,99.4,98.2,徐　　州,99.7,106.4,109.0
上海,99.4,108.0,109.9,扬　　州,99.7,106.1,107.1
南京,100.1,106.1,107.2,温　　州,99.6,104.7,106.8
杭州,99.6,106.6,108.8,金　　华,99.8,105.5,107.3
宁波,99.8,105.9,108.4,蚌　　埠,99.8,104.2,105.1
合肥,99.8,105.0,105.8,安　　庆,99.6,96.8,96.6
福州,99.9,105.1,105.4,泉　　州,99.9,106.9,108.2
厦门,99.8,104.0,104.8,九　　江,99.9,103.2,103.4
南昌,99.9,101.0,100.5,赣　　州,100.1,100.3,101.3
济南,99.7,101.0,100.6,烟　　台,99.9,103.7,103.4
青岛,99.9,101.2,101.2,济　　宁,100.2,104.2,105.8
郑州,99.7,102.0,101.0,洛　　阳,100.1,103.3,104.3
武汉,99.8,102.8,103.5,平顶山,99.8,101.3,102.4
长沙,100.2,106.2,106.5,宜　　昌,99.8,98.4,98.7
广州,99.6,109.6,112.2,襄　　阳,100.0,100.1,99.9
深圳,99.5,103.6,107.4,岳　　阳,99.7,97.6,98.3
南宁,99.8,100.5,101.2,常　　德,99.9,99.0,98.5
海口,100.5,108.0,108.6,韶　　关,99.9,101.4,101.5
重庆,100.3,104.9,105.4,湛　　江,99.6,100.9,100.7
成都,100.1,105.1,107.7,惠　　州,99.7,102.4,103.8
贵阳,99.4,98.7,97.9,桂　　林,99.6,100.7,101.4
昆明,99.5,101.3,101.9,北　　海,99.8,98.7,97.9
西安,100.2,106.8,108.3,三　　亚,100.2,105.9,105.7
兰州,99.7,103.4,104.3,泸　　州,100.1,101.5,100.9
西宁,100.1,105.5,107.7,南　　充,99.5,95.1,94.1
银川,99.8,105.4,108.1,遵　　义,99.6,99.3,99.7
乌鲁木齐,99.5,101.1,102.6,大　　理,99.6,99.6,100.8
