城市,环比,同比,1-7月平均,城市,环比,同比,1-7月平均
城市,环比,同比,1-7月平均,城市,环比,同比,1-7月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,,
北　　京,98.9,97.1,97.8,唐　　山,99.3,90.6,89.2
天　　津,99.4,96.8,95.7,秦 皇 岛,99.2,90.6,89.7
石 家 庄,99.3,94.2,93.5,包　　头,99.3,91.5,90.0
太　　原,100.2,95.4,95.2,丹　　东,99.5,92.9,91.1
呼和浩特,99.4,91.3,89.7,锦　　州,99.6,93.0,92.0
沈　　阳,99.7,95.3,94.2,吉　　林,99.7,95.6,94.9
大　　连,99.6,93.8,92.1,牡 丹 江,99.8,94.1,92.6
长　　春,99.5,93.7,93.7,无　　锡,99.3,95.0,94.0
哈 尔 滨,99.4,93.7,92.6,徐　　州,99.0,92.3,92.8
上　　海,99.1,97.8,98.6,扬　　州,99.6,91.5,91.4
南　　京,99.2,93.9,94.8,温　　州,99.6,91.8,90.5
杭　　州,99.3,97.3,97.2,金　　华,99.5,92.5,90.2
宁　　波,99.2,94.2,93.0,蚌　　埠,99.6,95.2,94.2
合　　肥,99.4,92.6,92.2,安　　庆,99.5,92.8,91.7
福　　州,99.4,92.9,91.5,泉　　州,99.7,92.3,89.9
厦　　门,99.3,94.2,91.5,九　　江,99.9,94.0,92.2
南　　昌,99.6,93.5,90.9,赣　　州,99.4,97.7,96.3
济　　南,99.6,94.1,92.0,烟　　台,99.2,93.3,91.7
青　　岛,99.4,95.1,93.8,济　　宁,99.3,94.8,94.8
郑　　州,99.3,91.9,92.1,洛　　阳,99.6,95.3,94.0
武　　汉,98.9,94.4,92.3,平 顶 山,99.7,95.4,95.0
长　　沙,99.3,93.3,92.5,宜　　昌,99.5,94.6,93.5
广　　州,99.0,94.0,92.2,襄　　阳,99.2,91.6,90.8
深　　圳,99.1,97.5,96.0,岳　　阳,99.6,94.3,94.1
南　　宁,99.4,93.1,91.9,常　　德,99.3,92.4,91.8
海　　口,99.4,95.9,94.5,韶　　关,99.5,94.2,93.5
重　　庆,99.5,96.0,95.3,湛　　江,99.3,94.4,93.3
成　　都,99.6,99.7,97.7,惠　　州,99.5,91.5,90.1
贵　　阳,99.4,95.3,95.1,桂　　林,99.4,95.1,95.0
昆　　明,99.6,91.9,92.2,北　　海,99.4,93.7,94.4
西　　安,99.1,93.1,93.2,三　　亚,99.5,93.4,93.2
兰　　州,99.7,93.5,92.0,泸　　州,99.4,94.2,93.0
西　　宁,100.0,96.0,93.7,南　　充,99.8,96.2,94.2
银　　川,99.7,95.6,95.0,遵　　义,99.7,94.3,94.2
乌鲁木齐,99.7,95.4,94.7,大　　理,99.6,94.8,93.4
