城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,101.1,109.3,109.2,唐　　山,99.5,104.3,103.2
天津,100.4,99.4,99.7,秦皇岛,99.9,102.4,101.3
石家庄,100.1,98.7,99.0,包　　头,100.5,103.3,102.8
太原,99.7,96.9,97.5,丹　　东,100.4,104.7,103.8
呼和浩特,99.8,100.4,99.7,锦　　州,99.9,99.8,99.3
沈阳,100.5,105.9,105.2,吉　　林,100.0,98.7,99.3
大连,100.6,106.5,105.8,牡丹江,99.7,92.9,94.5
长春,100.4,97.6,98.0,无　　锡,100.4,108.2,106.3
哈尔滨,100.4,96.9,98.6,徐　　州,101.1,110.9,109.3
上海,100.7,109.4,108.6,扬　　州,100.7,107.1,106.3
南京,100.6,106.2,105.5,温　　州,100.7,107.4,106.1
杭州,100.9,108.7,107.6,金　　华,100.6,108.1,106.4
宁波,100.4,109.7,107.9,蚌　　埠,100.3,104.6,104.0
合肥,100.3,106.1,105.6,安　　庆,99.7,97.3,97.8
福州,100.6,104.6,105.0,泉　　州,100.7,108.2,107.1
厦门,100.1,104.9,104.4,九　　江,100.2,103.1,103.0
南昌,99.8,100.2,100.6,赣　　州,99.8,101.9,101.3
济南,100.5,99.2,99.8,烟　　台,100.3,102.8,102.5
青岛,100.4,100.7,100.6,济　　宁,100.6,106.9,105.4
郑州,100.6,100.6,100.7,洛　　阳,100.6,104.1,103.4
武汉,100.3,103.1,102.7,平顶山,100.1,103.4,102.7
长沙,100.3,104.7,103.9,宜　　昌,99.9,100.0,99.4
广州,100.9,113.5,110.6,襄　　阳,100.2,99.7,100.0
深圳,99.9,110.9,108.9,岳　　阳,99.7,99.3,99.2
南宁,99.9,102.5,101.7,常　　德,99.8,99.3,99.4
海口,100.5,106.7,105.0,韶　　关,100.4,102.5,101.8
重庆,101.0,104.8,104.1,湛　　江,100.0,101.4,101.0
成都,100.7,106.8,106.5,惠　　州,100.2,105.4,104.2
贵阳,100.3,98.4,99.1,桂　　林,100.1,101.7,101.5
昆明,100.2,104.1,104.0,北　　海,100.0,97.3,97.7
西安,101.0,107.4,106.1,三　　亚,100.7,105.1,104.3
兰州,100.3,105.3,104.5,泸　　州,100.5,100.1,100.1
西宁,100.4,107.7,106.1,南　　充,99.7,95.6,96.3
银川,100.8,109.3,107.6,遵　　义,99.5,100.8,100.3
乌鲁木齐,99.8,104.8,104.0,大　　理,100.1,102.5,102.0
