城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,100.7,110.7,111.2,唐　　山,99.5,102.2,102.9
天津,100.2,100.1,100.1,秦皇岛,99.5,99.9,100.3
石家庄,99.8,98.5,98.5,包　　头,99.8,102.3,102.7
太原,100.4,98.6,97.9,丹　　东,100.1,104.4,104.1
呼和浩特,99.5,99.1,99.1,锦　　州,99.9,99.3,98.9
沈阳,100.3,105.2,106.0,吉　　林,100.2,99.4,99.4
大连,100.4,106.0,106.7,牡丹江,99.4,94.6,93.3
长春,100.2,98.1,98.6,无　　锡,100.5,106.7,107.8
哈尔滨,100.2,99.0,99.1,徐　　州,99.8,109.4,109.6
上海,100.7,110.3,110.3,扬　　州,100.3,108.0,107.4
南京,100.4,106.5,106.6,温　　州,100.3,106.5,107.1
杭州,100.5,107.8,109.0,金　　华,100.4,107.9,107.8
宁波,100.3,108.1,108.7,蚌　　埠,100.3,105.0,105.1
合肥,100.1,106.1,106.0,安　　庆,99.6,97.3,97.2
福州,100.2,105.7,105.9,泉　　州,100.3,108.4,108.1
厦门,100.3,104.2,105.1,九　　江,100.2,103.2,103.6
南昌,100.0,100.6,100.5,赣　　州,99.7,101.2,101.2
济南,100.4,100.2,100.7,烟　　台,100.6,104.2,103.4
青岛,100.3,101.3,101.2,济　　宁,99.8,105.9,105.7
郑州,100.3,101.8,101.5,洛　　阳,100.4,103.7,104.2
武汉,100.4,104.1,103.8,平顶山,99.9,102.7,102.6
长沙,101.2,105.7,105.8,宜　　昌,99.8,98.9,99.1
广州,100.6,112.2,112.1,襄　　阳,99.9,100.5,100.1
深圳,99.6,107.0,108.3,岳　　阳,99.4,98.1,98.5
南宁,99.9,101.5,101.8,常　　德,99.5,99.4,98.9
海口,101.3,108.1,107.2,韶　　关,99.9,101.4,101.3
重庆,100.2,105.6,105.2,湛　　江,100.0,102.2,101.4
成都,100.0,106.0,107.0,惠　　州,99.8,104.8,104.4
贵阳,99.9,99.3,98.8,桂　　林,100.3,101.8,102.0
昆明,99.6,102.6,103.0,北　　海,100.1,98.7,98.2
西安,100.6,107.9,107.8,三　　亚,100.4,105.4,105.2
兰州,100.2,104.6,104.8,泸　　州,100.2,100.6,100.3
西宁,100.4,106.2,107.2,南　　充,99.3,95.0,95.2
银川,100.2,107.4,108.4,遵　　义,99.9,100.4,100.2
乌鲁木齐,99.8,102.8,103.5,大　　理,99.5,101.5,101.4
