城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,101.2,108.5,105.2,唐　　山,100.6,107.7,104.0
天津,100.1,97.1,98.6,秦皇岛,99.8,103.3,101.4
石家庄,99.8,97.7,98.6,包　　头,100.2,102.0,101.3
太原,99.8,97.4,98.2,丹　　东,100.2,104.5,102.9
呼和浩特,100.2,99.3,99.7,锦　　州,100.2,99.6,99.7
沈阳,100.4,107.4,103.5,吉　　林,100.1,98.4,98.9
大连,100.5,107.0,103.8,牡丹江,99.8,90.1,94.9
长春,99.6,98.3,97.9,无　　锡,100.3,108.5,104.2
哈尔滨,100.4,96.3,97.4,徐　　州,100.3,108.8,105.3
上海,101.3,108.8,105.8,扬　　州,100.5,105.5,103.8
南京,100.6,105.2,103.2,温　　州,100.8,106.6,103.9
杭州,100.4,108.2,104.3,金　　华,100.5,107.0,104.8
宁波,100.7,110.1,105.9,蚌　　埠,100.3,104.2,102.7
合肥,100.8,105.8,104.0,安　　庆,99.6,98.4,98.5
福州,100.6,104.1,102.9,泉　　州,100.8,106.1,104.5
厦门,100.5,105.6,103.5,九　　江,100.5,102.4,101.9
南昌,99.9,100.1,100.7,赣　　州,100.3,102.5,101.5
济南,99.8,98.0,98.5,烟　　台,100.3,100.6,101.1
青岛,100.3,98.8,99.3,济　　宁,100.5,106.0,104.0
郑州,100.3,97.2,99.0,洛　　阳,99.9,102.8,101.4
武汉,100.5,101.6,101.3,平顶山,100.4,103.7,102.2
长沙,100.5,102.7,102.4,宜　　昌,99.8,99.1,99.5
广州,101.0,109.8,107.0,襄　　阳,99.8,98.6,99.1
深圳,100.9,116.0,108.6,岳　　阳,99.7,101.1,100.0
南宁,100.2,103.3,102.1,常　　德,100.0,98.2,99.4
海口,100.5,103.2,103.0,韶　　关,100.1,100.3,100.4
重庆,100.2,100.7,100.9,湛　　江,100.3,98.8,99.9
成都,100.8,109.3,104.7,惠　　州,100.6,104.5,103.3
贵阳,100.1,96.8,98.2,桂　　林,100.2,102.6,101.6
昆明,100.8,104.4,102.9,北　　海,99.8,96.7,98.2
西安,100.9,104.7,103.6,三　　亚,100.7,101.3,102.0
兰州,100.6,104.4,103.0,泸　　州,100.4,98.4,99.5
西宁,100.4,108.7,104.9,南　　充,99.8,95.1,96.7
银川,100.5,110.0,105.4,遵　　义,100.2,100.9,100.7
乌鲁木齐,100.5,107.2,103.8,大　　理,100.6,102.6,101.5
