城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2015年=100,上月=100,上年同月=100,2015年=100,,
北　　京,99.4,96.9,146.8,唐　　山,100.0,103.3,105.3
天　　津,100.6,98.2,125.1,秦皇岛,100.0,105.4,108.4
石家庄,99.6,99.8,118.3,包　　头,99.9,102.6,100.3
太　　原,100.9,108.3,114.9,丹　　东,100.3,102.7,100.7
呼和浩特,100.3,102.8,101.8,锦　　州,100.0,100.2,93.6
沈　　阳,100.1,107.3,109.0,吉　　林,100.2,103.8,105.5
大　　连,100.7,105.9,107.2,牡丹江,99.8,102.9,103.5
长　　春,100.5,105.5,106.5,无　　锡,99.9,108.5,129.1
哈尔滨,100.2,106.6,108.6,扬　　州,100.2,105.5,112.3
上　　海,100.1,100.8,141.5,徐　　州,100.3,105.3,110.9
南　　京,99.6,97.6,135.2,温　　州,99.9,106.4,111.5
杭　　州,100.2,106.9,134.3,金　　华,100.3,107.5,113.5
宁　　波,100.4,107.2,118.3,蚌　　埠,100.0,107.1,112.3
合　　肥,100.0,99.3,151.4,安　　庆,99.9,105.9,113.2
福　　州,99.9,104.9,125.6,泉　　州,100.0,105.9,112.4
厦　　门,99.2,102.2,140.7,九　　江,100.3,104.4,114.6
南　　昌,99.9,103.1,118.2,赣　　州,100.4,102.7,113.7
济　　南,99.6,102.3,119.4,烟　　台,100.3,106.5,109.2
青　　岛,100.1,110.6,122.7,济　　宁,100.2,106.6,107.9
郑　　州,99.5,99.7,130.3,洛　　阳,100.2,104.2,106.6
武　　汉,100.3,108.8,136.8,平顶山,100.6,105.6,106.0
长　　沙,100.2,110.6,126.2,宜　　昌,101.0,106.6,111.4
广　　州,99.9,107.6,145.9,襄　　阳,100.7,105.7,106.4
深　　圳,100.9,102.6,145.3,岳　　阳,100.2,104.6,107.2
南　　宁,100.2,107.0,115.7,常　　德,100.0,104.2,106.7
海　　口,100.5,100.6,103.6,惠　　州,100.3,106.0,122.8
重　　庆,100.1,108.0,115.6,湛　　江,100.3,107.4,109.4
成　　都,99.7,103.5,110.2,韶　　关,99.7,105.1,107.0
贵　　阳,100.5,104.9,107.9,桂　　林,100.1,103.1,100.2
昆　　明,100.7,106.4,108.9,北　　海,99.9,108.0,112.1
西　　安,100.0,108.9,105.1,三　　亚,100.1,101.7,105.5
兰　　州,100.7,103.5,104.7,泸　　州,100.3,104.4,109.0
西　　宁,100.3,102.5,101.7,南　　充,100.5,107.0,110.3
银　　川,100.2,101.2,100.5,遵　　义,100.7,105.3,106.5
乌鲁木齐,101.1,109.5,107.8,大　　理,100.7,102.9,101.6
