城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,100.4,104.6,116.5,唐　　山,99.3,95.3,97.2
天津,99.1,94.4,95.0,秦皇岛,99.5,95.9,95.7
石家庄,99.8,95.6,93.4,包　　头,99.2,95.6,97.8
太原,99.5,94.5,91.7,丹　　东,99.1,94.0,98.0
呼和浩特,99.5,95.0,94.0,锦　　州,99.4,94.7,93.5
沈阳,99.6,94.1,99.8,吉　　林,99.3,92.9,91.9
大连,99.3,96.2,103.2,牡丹江,98.9,89.0,82.0
长春,99.7,94.5,93.6,无　　锡,99.7,100.3,108.4
哈尔滨,99.4,90.5,88.9,徐　　州,99.7,95.8,104.3
上海,100.5,103.9,114.2,扬　　州,99.6,96.3,103.2
南京,100.1,96.6,103.6,温　　州,99.8,95.4,101.9
杭州,99.4,99.8,108.6,金　　华,99.5,94.2,101.1
宁波,99.7,98.5,106.8,蚌　　埠,99.7,95.9,100.8
合肥,100.2,98.8,104.5,安　　庆,99.4,93.6,90.4
福州,99.7,97.6,102.9,泉　　州,99.4,93.9,101.6
厦门,99.5,98.7,103.4,九　　江,99.8,97.4,100.7
南昌,99.8,98.4,98.9,赣　　州,99.7,100.1,101.4
济南,99.9,96.7,97.3,烟　　台,99.6,97.0,100.3
青岛,99.5,97.5,98.7,济　　宁,99.2,94.5,100.0
郑州,99.6,94.7,95.7,洛　　阳,99.4,93.0,97.0
武汉,99.2,94.4,97.7,平顶山,99.5,96.4,98.7
长沙,100.2,99.6,106.1,宜　　昌,99.4,93.5,92.2
广州,99.4,99.8,112.0,襄　　阳,99.3,94.3,94.2
深圳,99.6,96.5,103.6,岳　　阳,99.2,95.7,94.1
南宁,99.6,94.5,95.6,常　　德,99.8,94.4,92.9
海口,99.3,100.8,109.5,韶　　关,99.5,95.3,96.7
重庆,99.5,99.1,104.5,湛　　江,99.2,94.2,94.9
成都,100.3,107.0,115.2,惠　　州,99.7,98.2,101.9
贵阳,99.9,95.3,93.3,桂　　林,99.5,96.2,97.6
昆明,100.3,101.5,103.4,北　　海,98.9,92.7,90.7
西安,99.6,97.9,106.1,三　　亚,99.9,98.9,104.5
兰州,99.6,94.9,99.0,泸　　州,100.2,96.5,97.4
西宁,99.7,96.5,103.9,南　　充,99.7,99.9,94.0
银川,99.6,96.5,104.3,遵　　义,99.5,95.6,95.3
乌鲁木齐,100.0,97.1,99.6,大　　理,99.9,95.0,95.8
