城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,100.9,106.9,103.9,唐　　山,100.4,107.8,103.4
天津,100.0,96.6,98.5,秦皇岛,99.9,103.0,101.6
石家庄,100.0,97.9,98.8,包　　头,100.2,101.8,101.1
太原,99.9,97.1,98.4,丹　　东,100.3,104.6,102.8
呼和浩特,99.9,99.1,99.5,锦　　州,99.6,99.4,99.5
沈阳,100.0,107.2,103.1,吉　　林,100.1,98.2,98.8
大连,100.3,106.5,103.2,牡丹江,99.7,90.0,95.1
长春,99.6,98.9,98.4,无　　锡,100.8,107.9,103.9
哈尔滨,99.8,96.0,97.1,徐　　州,101.0,109.1,105.0
上海,101.3,107.6,104.5,扬　　州,100.5,105.0,103.3
南京,100.5,104.7,102.7,温　　州,100.5,105.8,103.1
杭州,100.7,107.7,103.9,金　　华,101.3,106.2,104.3
宁波,100.9,108.8,105.1,蚌　　埠,100.4,103.9,102.4
合肥,100.6,105.0,103.2,安　　庆,99.9,98.4,98.8
福州,100.8,103.4,102.3,泉　　州,100.9,105.0,103.7
厦门,100.6,105.1,103.0,九　　江,100.7,102.0,101.4
南昌,100.5,100.2,100.7,赣　　州,100.0,102.4,101.3
济南,100.4,97.7,98.8,烟　　台,100.4,99.6,100.8
青岛,99.9,97.9,99.0,济　　宁,100.6,105.4,103.5
郑州,100.1,97.0,98.7,洛　　阳,100.2,102.9,101.5
武汉,100.5,101.1,100.8,平顶山,100.3,103.4,101.8
长沙,100.6,102.0,101.8,宜　　昌,99.7,99.3,99.7
广州,101.4,108.7,105.9,襄　　阳,100.0,98.8,99.3
深圳,101.7,115.3,107.6,岳　　阳,99.8,100.9,100.3
南宁,100.2,103.2,101.9,常　　德,100.0,98.2,99.5
海口,100.4,102.6,102.5,韶　　关,100.3,99.8,100.3
重庆,100.3,100.1,100.8,湛　　江,99.9,98.1,99.6
成都,101.0,109.3,103.8,惠　　州,100.7,103.9,102.7
贵阳,99.8,96.7,98.1,桂　　林,100.5,102.6,101.4
昆明,100.8,103.9,102.1,北　　海,99.9,96.6,98.3
西安,101.0,103.8,102.7,三　　亚,100.6,100.6,101.3
兰州,100.4,103.9,102.5,泸　　州,100.1,97.3,99.1
西宁,100.8,108.6,104.5,南　　充,99.7,94.4,96.9
银川,100.7,109.7,104.9,遵　　义,100.5,99.9,100.5
乌鲁木齐,100.3,106.1,103.3,大　　理,100.2,102.0,100.9
