城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,100.6,106.5,115.0,唐　　山,99.6,97.5,101.2
天津,99.5,99.3,98.6,秦皇岛,99.9,96.3,97.7
石家庄,99.8,95.1,94.1,包　　头,99.4,97.7,99.9
太原,98.4,93.8,91.7,丹　　东,99.6,97.0,100.3
呼和浩特,99.8,97.0,96.8,锦　　州,99.2,96.1,95.6
沈阳,99.6,97.6,102.2,吉　　林,100.0,97.6,97.0
大连,99.0,99.7,104.8,牡丹江,100.0,90.4,85.7
长春,100.0,99.4,97.0,无　　锡,99.8,101.1,107.1
哈尔滨,98.9,94.0,92.4,徐　　州,100.4,98.3,106.3
上海,100.0,103.7,111.9,扬　　州,98.8,98.1,103.6
南京,99.4,99.1,103.9,温　　州,99.5,99.1,104.5
杭州,100.1,102.7,109.5,金　　华,99.6,98.4,104.0
宁波,99.9,100.1,107.6,蚌　　埠,99.8,99.4,103.0
合肥,99.2,98.2,103.3,安　　庆,99.7,94.7,93.0
福州,100.3,99.3,103.7,泉　　州,99.4,98.5,104.7
厦门,100.2,100.0,104.3,九　　江,100.1,99.0,101.7
南昌,99.5,98.6,99.5,赣　　州,100.3,100.4,101.9
济南,99.2,99.1,98.4,烟　　台,99.3,98.5,100.7
青岛,99.3,99.4,99.6,济　　宁,99.5,98.4,103.0
郑州,99.5,98.2,98.3,洛　　阳,99.1,97.3,100.1
武汉,99.6,98.1,100.4,平顶山,99.7,98.1,100.6
长沙,99.5,101.9,105.6,宜　　昌,99.9,96.6,96.1
广州,100.5,102.0,111.9,襄　　阳,99.4,97.6,97.4
深圳,100.5,97.2,106.0,岳　　阳,100.2,97.8,97.3
南宁,99.6,96.6,98.3,常　　德,99.5,95.7,95.2
海口,100.1,105.8,110.6,韶　　关,99.3,96.7,98.0
重庆,99.5,101.9,104.9,湛　　江,99.8,97.1,98.1
成都,100.7,103.6,109.6,惠　　州,99.7,99.2,103.1
贵阳,99.8,96.0,94.9,桂　　林,99.6,97.7,99.1
昆明,100.6,99.5,103.3,北　　海,99.7,96.7,94.4
西安,99.9,101.8,107.0,三　　亚,100.0,101.6,105.2
兰州,99.8,97.9,101.9,泸　　州,99.8,97.8,97.5
西宁,100.3,99.3,105.0,南　　充,100.4,95.7,92.5
银川,99.5,99.1,105.8,遵　　义,99.7,96.1,96.9
乌鲁木齐,99.9,96.9,101.0,大　　理,99.1,94.3,96.1
