城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,101.2,107.2,114.3,唐　　山,100.0,97.6,101.6
天津,99.7,100.1,99.0,秦皇岛,99.5,96.2,97.8
石家庄,99.6,95.5,94.2,包　　头,99.5,98.8,100.5
太原,99.3,95.1,93.3,丹　　东,99.4,97.6,100.7
呼和浩特,99.7,97.1,97.0,锦　　州,99.9,96.4,96.3
沈阳,99.3,98.5,102.6,吉　　林,100.0,97.8,97.0
大连,99.5,101.3,105.8,牡丹江,97.9,90.3,85.7
长春,100.0,99.2,97.0,无　　锡,100.5,102.1,107.3
哈尔滨,99.2,95.5,93.4,徐　　州,99.3,99.3,105.9
上海,100.4,104.6,111.9,扬　　州,100.4,100.2,104.9
南京,99.9,100.3,104.5,温　　州,99.5,100.4,104.9
杭州,100.3,103.6,109.4,金　　华,99.3,99.2,104.5
宁波,100.2,100.9,107.7,蚌　　埠,99.7,99.9,103.2
合肥,99.8,99.5,104.2,安　　庆,99.2,94.8,93.2
福州,99.7,99.8,103.4,泉　　州,99.6,100.0,105.3
厦门,100.1,100.1,104.1,九　　江,99.7,99.2,101.7
南昌,100.2,99.2,99.9,赣　　州,100.2,100.0,101.6
济南,99.9,100.5,99.2,烟　　台,99.7,99.8,101.4
青岛,100.2,100.5,100.3,济　　宁,99.8,99.2,103.5
郑州,99.8,99.2,98.7,洛　　阳,99.6,99.1,100.9
武汉,99.4,99.1,100.8,平顶山,99.6,98.6,101.0
长沙,100.0,102.9,106.1,宜　　昌,99.7,96.6,96.3
广州,100.3,102.7,111.3,襄　　阳,99.9,98.5,98.0
深圳,99.7,96.7,105.5,岳　　阳,100.1,97.4,97.1
南宁,99.3,96.8,98.7,常　　德,99.6,96.2,95.7
海口,100.6,106.6,110.5,韶　　关,99.8,97.9,98.7
重庆,100.1,103.7,105.5,湛　　江,99.6,97.9,98.4
成都,100.6,103.2,108.8,惠　　州,99.7,99.7,103.4
贵阳,99.1,96.6,95.1,桂　　林,100.2,97.9,99.5
昆明,100.4,99.5,102.7,北　　海,99.6,96.7,94.7
西安,100.1,102.7,107.1,三　　亚,100.2,102.4,105.2
兰州,99.8,98.7,102.1,泸　　州,99.5,98.4,97.7
西宁,100.2,99.4,104.7,南　　充,99.9,95.6,92.1
银川,99.8,100.2,106.3,遵　　义,99.4,96.3,97.2
乌鲁木齐,100.3,97.4,101.1,大　　理,99.5,95.3,97.0
