城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,100.2,104.1,115.8,唐　　山,99.2,95.5,98.3
天津,99.2,96.5,96.6,秦皇岛,99.6,96.6,96.9
石家庄,100.1,95.3,93.9,包　　头,99.6,96.4,99.0
太原,99.7,94.5,92.5,丹　　东,99.2,95.6,99.6
呼和浩特,99.5,96.0,95.1,锦　　州,99.9,95.5,94.5
沈阳,99.4,95.4,101.1,吉　　林,99.1,93.9,93.3
大连,99.8,97.8,104.3,牡丹江,99.3,89.5,83.5
长春,99.4,95.5,94.2,无　　锡,100.1,100.7,108.6
哈尔滨,99.6,91.1,90.2,徐　　州,99.6,96.3,105.5
上海,100.8,102.4,113.0,扬　　州,100.5,96.6,103.7
南京,100.2,96.3,102.7,温　　州,99.6,95.9,102.7
杭州,99.7,100.6,109.6,金　　华,99.5,94.6,102.0
宁波,100.1,99.1,107.7,蚌　　埠,99.7,96.8,101.7
合肥,100.7,98.1,104.0,安　　庆,99.6,94.0,91.4
福州,99.9,97.8,103.5,泉　　州,99.4,95.4,103.1
厦门,99.5,99.6,104.7,九　　江,99.8,97.8,101.4
南昌,100.5,98.5,99.0,赣　　州,99.6,100.7,102.0
济南,99.8,97.0,97.7,烟　　台,100.9,97.5,100.9
青岛,99.7,98.4,99.6,济　　宁,99.8,96.1,101.6
郑州,99.5,95.4,96.8,洛　　阳,99.6,94.3,98.2
武汉,99.9,95.4,99.1,平顶山,99.4,97.1,99.6
长沙,100.3,99.9,105.7,宜　　昌,99.7,94.8,94.0
广州,100.1,100.6,112.8,襄　　阳,99.5,95.4,95.5
深圳,99.5,96.5,104.6,岳　　阳,99.5,96.2,94.8
南宁,99.6,95.1,96.8,常　　德,99.2,94.6,93.6
海口,99.7,103.1,110.5,韶　　关,99.5,96.1,97.4
重庆,100.3,100.2,105.4,湛　　江,99.7,95.3,96.6
成都,101.3,106.7,114.2,惠　　州,100.2,98.1,102.4
贵阳,99.5,94.1,93.0,桂　　林,99.4,96.5,98.5
昆明,99.3,99.8,102.8,北　　海,99.2,94.3,92.6
西安,100.3,99.3,107.0,三　　亚,99.8,99.4,104.6
兰州,99.4,95.2,99.8,泸　　州,100.3,97.0,97.2
西宁,99.9,97.0,104.0,南　　充,100.6,99.4,94.6
银川,99.7,96.8,104.9,遵　　义,100.4,95.8,96.0
乌鲁木齐,99.6,96.4,99.7,大　　理,99.6,94.2,95.5
