城市,环比,同比,1-10月平均,城市,环比,同比,1-10月平均
城市,环比,同比,1-10月平均,城市,环比,同比,1-10月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,,
北　　京,99.9,98.0,95.8,唐　　山,99.3,94.2,93.1
天　　津,99.3,98.5,98.1,秦 皇 岛,99.8,95.3,93.9
石 家 庄,99.5,96.3,96.5,包　　头,99.3,94.1,93.9
太　　原,99.6,100.0,100.9,丹　　东,99.9,96.4,94.9
呼和浩特,99.9,95.4,94.3,锦　　州,99.6,97.1,95.9
沈　　阳,100.2,100.0,98.4,吉　　林,99.7,96.3,95.1
大　　连,99.9,98.1,96.3,牡 丹 江,99.7,97.4,94.7
长　　春,99.7,97.1,96.2,无　　锡,99.4,96.2,96.0
哈 尔 滨,99.7,97.6,95.7,徐　　州,99.1,95.4,94.8
上　　海,100.3,105.7,105.8,扬　　州,99.4,94.6,94.0
南　　京,99.3,98.0,98.1,温　　州,99.3,96.2,92.9
杭　　州,100.1,104.0,101.2,金　　华,99.2,97.1,93.5
宁　　波,99.6,99.9,97.0,蚌　　埠,99.6,96.3,94.7
合　　肥,100.1,100.4,97.1,安　　庆,99.7,96.3,95.1
福　　州,99.4,98.1,94.9,泉　　州,99.6,97.5,94.6
厦　　门,99.6,98.6,96.1,九　　江,99.1,95.9,95.1
南　　昌,99.6,95.9,95.2,赣　　州,99.8,98.0,96.5
济　　南,99.3,97.6,95.6,烟　　台,99.6,96.0,95.1
青　　岛,99.6,98.9,97.2,济　　宁,99.7,96.7,95.8
郑　　州,99.2,96.8,96.0,洛　　阳,99.6,97.1,95.2
武　　汉,99.4,97.9,95.6,平 顶 山,99.9,99.5,99.1
长　　沙,99.4,98.7,96.1,宜　　昌,99.8,100.5,97.8
广　　州,99.2,95.8,94.2,襄　　阳,99.2,95.9,95.1
深　　圳,99.3,97.4,97.0,岳　　阳,99.4,95.6,94.4
南　　宁,99.4,100.6,97.0,常　　德,99.3,96.6,94.5
海　　口,99.7,95.6,95.7,韶　　关,100.2,97.3,95.4
重　　庆,99.4,97.4,96.4,湛　　江,99.0,98.1,96.2
成　　都,99.0,100.7,99.1,惠　　州,99.1,97.2,95.5
贵　　阳,99.4,96.7,95.8,桂　　林,99.5,96.6,96.7
昆　　明,99.1,95.2,93.2,北　　海,99.6,94.6,93.9
西　　安,99.2,94.8,96.6,三　　亚,99.5,99.9,98.2
兰　　州,99.8,96.6,94.0,泸　　州,99.4,95.2,93.7
西　　宁,99.4,96.4,95.3,南　　充,99.8,97.9,97.3
银　　川,99.6,96.5,96.4,遵　　义,99.4,97.2,96.8
乌鲁木齐,100.2,100.9,98.9,大　　理,99.6,95.8,94.3
